"",Dealer Name,Mailing & Business Address,City,County,Zip
86201,"Three Guys Guns and Outdoors, LLC.",16901 Cherry Branch Place,Oldtown,Allegany,21555
76304,"Time Off Charters, LLC",1745 Forest Glen Dr,Prince Frederick,Calvert,20678
85515,TK Defense,18 Cessna Court,Gaithersburg,Montgomery,20879
15004,Tom's Guns,2081 Lowery Oaks Lane,Huntington,Calvert,20639
87312,"Top Gun Firearms, LLC",2800 Belair Rd.,Fallston,Harford,21047
57721,Tri-State Gun & Bows,8638 Downsville Pike,Williamsport,Washington,21795
67015,Triple Bravo,1 Old Stage Ct.,Rockville,Montgomery,20852
86322,"TRL Firearms & Gunsmithing, LLC.",106 East Isabella St.,Salisbury,Wicomico,21801
82722,TRM Traders,1708 South Mill Dr.,Salisbury,Wicomico,21804
71110,"Tuscarora Enterprises, LLC.",3910 Basford Rd,Frederick,Frederick,21703
67614,Twinny's Tanning & Guns/Twinny's Sun & Guns,617 Mill Lane,Galena,Kent,21635
80202,"Tyler Firearms, LLC","4367 Hollins Ferry Rd, suite 2C",Halethorpe,Baltimore,21227
78913,Uncommon Arms,6551 Walnut Grove,Columbia,Howard,21044
82106,"Unique Systems, LLC",42 Loqust St,Westminster,Carroll,21157
81815,United Gun Shop,5465 Randolph Rd,Rockville,Montgomery,20852
86602,"Valhalla Firearms, LLC",8385 Maryland Rd.,Pasadena,Anne Arundel,21122
92210,Valor Gun Exchange,24 Walnut St.,Middletown,Frederick,21769
65810,"W.Frear Innovations, LLC.",3513 Marigold Drive,Monrovia,Frederick,21770
17311,Wassell Works,4021 Westernport Road,Westernport,Garrett,21562
87215,"Web Enterprises, LLC","554 N Frederick Ave, Suite 217",Gaithersburg,Montgomery,20877
89002,Webster Waffen Werks,7815 Parsonsburg Rd,Parsonburg,Wicomico,21108
72706,West Carroll Arms,955 Murphy Ct,New Windsor,Carroll,21776
22803,"White Marsh Arms, Inc.",9603 Deereco Rd #500,Lutherville,Baltimore County,21093
92816,Wilson Brothers,8901 Blackbriar Ct.,Ft. Washington,Prince George's,20744
63119,Wink's Sporting Goods,12122 Carol Lane #A,Princess Anne,Somerset,21853
57116,Worldwide Sports,109 Eagle Head Dr,Fort Washington,Prince George's,20744
70602,"Worth-A-Shot, Inc",1223 Daves Rd,Edgewater,Anne Arundel,21037
10421,Zimmerman's Auction Gallery,2 Canal Street,Hancock,Washington,21750
77103,"Zink Arms, LLC",9506 Belair Road,Nottingham,Baltimore,21236
"",,,,,
"",,,,,
"",,,,,
"",,,,,
"",,,,,
